perk_desc_copis_things_mana_efficiency,"Spells you cast will cost two thirds as much mana.",,,,,,,,,,,,
perk_name_copis_things_material_compression,"Material Compression",,,,,,,,,,,,
perk_desc_copis_things_material_compression,"Your flasks can now hold twice as much.",,,,,,,,,,,,
perk_name_copis_things_mega_cast,"Megacast",,,,,,,,,,,,
perk_desc_copis_things_megacast,"You cast all of your wand's spells at once.",,,,,,,,,,,,
perk_name_copis_things_multiply_hp,"Multiply HP",,,,,,,,,,,,
perk_desc_copis_things_multiply_hp,"Your max health is tripled, but you're unable to gain more health from hearts",,,,,,,,,,,,
perk_name_copis_things_poly_to_acid,"Acimorphism",,,,,,,,,,,,
perk_desc_copis_things_poly_to_acid,"You convert nearby Polymorphine to Acid, and gain immunity to being polymorphed.",,,,,,,,,,,,
perk_name_copis_things_protagonist,"Protagonist",,,,,,,,,,,,
perk_desc_copis_things_protagonist,"Your damage increases the closer you are to death.",,,,,,,,,,,,
perk_name_copis_things_protection_freeze,"Freeze Immunity",,,,,,,,,,,,
perk_desc_copis_things_protection_freeze,"You cannot be frozen",,,,,,,,,,,,
perk_name_copis_things_protection_polymorph,"Polymorph Immunity",,,,,,,,,,,,
perk_desc_copis_things_protection_polymorph,"You become immune to transmutation",,,,,,,,,,,,
perk_name_copis_things_recursion,"Recursion (One-Off)",,,,,,,,,,,,
perk_desc_copis_things_recursion,"The next stackable perk you take will be taken three times, but your max health is reduced.",,,,,,,,,,,,
perk_name_copis_things_regen,"Regeneration",,,,,,,,,,,,
perk_desc_copis_things_regen,"You slowly heal while out of combat, but your flesh is weak.",,,,,,,,,,,,
perk_name_copis_things_resilience,Resilience,,,,,,,,,,,,
perk_desc_copis_things_resilience,"You are more resistant to damage from status ailments.",,,,,,,,,,,,
perk_name_copis_things_short_temper,"Short Temper",,,,,,,,,,,,
perk_desc_copis_things_short_temper,"Taking damage makes you enter a state of rage briefly.",,,,,,,,,,,,
perk_name_copis_things_soul_eye,"Soul Vision",,,,,,,,,,,,
perk_desc_copis_things_soul_eye,,,,,,,,,,,,,
perk_name_copis_things_spell_efficiency,"Spell efficiency",,,,,,,,,,,,
perk_desc_copis_things_spell_efficiency,"You have a chance not to use spell charges",,,,,,,,,,,,
perk_name_copis_things_summon_lootbox,"Summon Loot Cache (One-Off)",,,,,,,,,,,,
perk_desc_copis_things_summon_lootbox,"Summon a box which may hold treasures within",,,,,,,,,,,,
perk_name_copis_things_summon_medkit,"Summon Medkit (One-Off)",,,,,,,,,,,,
perk_desc_copis_things_summon_medkit,"Summon a box of medical supplies you can take with you",,,,,,,,,,,,
perk_name_copis_things_swapper,"Swapper",,,,,,,,,,,,
perk_desc_copis_things_swapper,"Confuse your enemies by swapping places with your attacker.",,,,,,,,,,,,
perk_name_copis_things_volcanic_blood,"Volcanic Blood",,,,,,,,,,,,
perk_desc_copis_things_volcanic_blood,"You become immune to lava and burns, bleed lava, and become hydrophobic!",,,,,,,,,,,,
perk_name_copis_things_wand_duplicate,Duplicate Wand (One-Off),,,,,,,,,,,,
perk_desc_copis_things_wand_duplicate,"Your wand has been copied.",,,,,,,,,,,,
perk_name_copis_things_wand_merge,"Wand Fusion (One-Off)",,,,,,,,,,,,
perk_desc_copis_things_wand_merge,"Your wands have fused together.",,,,,,,,,,,,
perk_name_copis_things_wandsmith,"Wandsmith",,,,,,,,,,,,
perk_desc_copis_things_wandsmith,"From now on wands you find will have slightly better stats.",,,,,,,,,,,,
perk_name_copis_things_lost_treasure,"Lost Treasure",,,,,,,,,,,,
perk_desc_copis_things_lost_treasure,"All that was lost returns to you.",,,,,,,,,,,,
perk_name_copis_things_regression_scales,"Regression Scales",,,,,,,,,,,,
perk_desc_copis_things_regression_scales,"The weight of the scales are relieved, but your options are running out.",,,,,,,,,,,,
perk_name_copis_things_protection_lottery,"Protection Lottery",,,,,,,,,,,,
perk_desc_copis_things_protection_lottery,"Reroll your defences",,,,,,,,,,,,
perk_name_copis_things_death_lottery,"Death Lottery",,,,,,,,,,,,
perk_desc_copis_things_death_lottery,"Gamble on your life! You have a chance to revive upon death, but can take critical hits.",,,,,,,,,,,,
perk_name_copis_things_spell_jam,"Spell Jam (One-Off)",,,,,,,,,,,,
perk_desc_copis_things_spell_jam,"Every spell in your inventory is consumed, but you get an equal amount of random spells back!",,,,,,,,,,,,
perk_name_copis_things_iron_feathers,"Iron Feathers",,,,,,,,,,,,
perk_desc_copis_things_iron_feathers,"The longer you spend in the air, the less damage you take.",,,,,,,,,,,,
perk_name_null,"Unnamed Perk",,,,,,,,,,,,
perk_desc_null,"This perk is missing its localization data!",,,,,,,,,,,,
